query_id,intent,lane,refusal_expected,candidate_count,prompt_tokens_est,ttft_ms,total_latency_ms,output_tokens,tokens_per_second,evidence_chars,slow_reason,recommendation
BQ161,more_context,research_answer,false,3,1001,3706.5999999046326,10775.900000095367,50,7.072836065614837,9495,total_latency_tail+low_decode_speed+large_prompt+large_evidence_text,Compress context skeleton and cap answer length.
BQ128,region_period_recommendation,research_answer,false,3,885,3980.1000003814697,10753.700000286102,113,16.682414078420774,10695,total_latency_tail+long_output+large_evidence_text,Use route-specific field summaries and length control.
BQ175,more_context,research_answer,false,3,964,3909.7999997138977,10710.599999904633,74,10.881072814657776,9319,total_latency_tail+large_evidence_text,Compress context skeleton and cap answer length.
BQ143,region_period_recommendation,research_answer,false,3,753,3721.300000190735,10703.200000286102,97,13.893066357105523,8142,total_latency_tail,Use route-specific field summaries and length control.
BQ072,current_object_explanation,fast_answer,false,3,1034,4007.3999996185303,10700.699999809265,67,10.01001000972476,9101,total_latency_tail+large_prompt+large_evidence_text,Prefer one primary object and move evidence tags before prose.
BQ140,region_period_recommendation,research_answer,false,3,979,3975,10522.299999713898,92,14.051593787365814,10522,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ138,region_period_recommendation,research_answer,false,3,864,3764.5999999046326,10501.599999904633,42,6.234228885260501,9873,total_latency_tail+low_decode_speed+large_evidence_text,Use route-specific field summaries and length control.
BQ103,comparison,research_answer,false,2,798,3695.5999999046326,10415.900000095367,57,8.481764206714319,8507,total_latency_tail+low_decode_speed,Keep two comparison records plus exact evidence tags; avoid spillover.
BQ068,current_object_explanation,fast_answer,false,3,953,3704.0999999046326,10379.800000190735,86,12.882544152121017,9059,total_latency_tail+large_evidence_text,Prefer one primary object and move evidence tags before prose.
BQ240,region_period_recommendation,research_answer,false,3,929,3700.699999809265,10359.699999809265,60,9.010361916203635,11038,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ139,region_period_recommendation,research_answer,false,3,918,3865.4000000953674,10323.199999809265,76,11.768713803983873,10657,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ162,more_context,research_answer,false,3,919,3680.9000000953674,10313.400000095367,42,6.332453825857519,8158,total_latency_tail+low_decode_speed,Compress context skeleton and cap answer length.
BQ257,more_context,research_answer,false,3,1037,3766,10252.400000095367,102,15.725209669231058,9696,total_latency_tail+large_prompt+long_output+large_evidence_text,Compress context skeleton and cap answer length.
BQ133,region_period_recommendation,research_answer,false,3,739,3722,10251.5,71,10.873726931618041,9326,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ171,more_context,research_answer,false,3,944,3584.4000000953674,10237.800000190735,90,13.526918567756331,9711,total_latency_tail+large_evidence_text,Compress context skeleton and cap answer length.
BQ256,more_context,research_answer,false,3,952,3609.4000000953674,10182.700000286102,90,13.691753000378577,9444,total_latency_tail+large_evidence_text,Compress context skeleton and cap answer length.
BQ135,region_period_recommendation,research_answer,false,3,802,3555.300000190735,10144.900000095367,64,9.712273886264148,10382,total_latency_tail+large_evidence_text,Use route-specific field summaries and length control.
BQ214,current_object_explanation,fast_answer,false,3,859,3552.699999809265,10120.199999809265,53,8.070041872858775,10628,total_latency_tail+low_decode_speed+large_evidence_text,Prefer one primary object and move evidence tags before prose.
BQ076,current_object_explanation,fast_answer,false,3,940,3512.7999997138977,10115.699999809265,67,10.147056596197475,8425,total_latency_tail,Prefer one primary object and move evidence tags before prose.
BQ062,current_object_explanation,fast_answer,false,3,906,3474.7999997138977,10105.900000095367,55,8.294249822327517,8762,total_latency_tail+low_decode_speed,Prefer one primary object and move evidence tags before prose.
BQ229,comparison,research_answer,false,2,825,3507.300000190735,10042,63,9.640840436720712,8327,total_latency_tail,Keep two comparison records plus exact evidence tags; avoid spillover.
BQ111,comparison,research_answer,false,2,739,3438.4000000953674,10003.199999809265,61,9.29198147737303,7187,total_latency_tail,Keep two comparison records plus exact evidence tags; avoid spillover.
