query_id,intent,lane,candidate_count,prompt_tokens_est,output_tokens,ttft_ms,total_latency_ms,tokens_per_second,p003_generation_speed_low
BQ27,no_evidence_refusal,refusal_more_context,0,107,10,375.40000009536743,718.4000000953674,29.154518950437314,0
BQ28,no_evidence_refusal,refusal_more_context,0,112,10,375,715.6999998092651,29.351335502196427,0
BQ29,no_evidence_refusal,refusal_more_context,0,105,10,369.5,713.9000000953674,29.036004637720417,0
BQ30,casual_archive_help,help,2,382,67,1215.9000000953674,3937.4000000953674,24.61877641006798,0
BQ031,archive_orientation,help,2,429,97,1345.5999999046326,5363.5,24.14196470735898,0
BQ032,archive_orientation,help,2,407,95,1222.8000001907349,5170.60000038147,24.064035664271277,0
BQ033,archive_orientation,help,2,415,97,1293.8000001907349,5448.700000286102,23.34592890268684,0
BQ034,archive_orientation,help,2,423,92,1299.3999996185303,5260.099999904633,23.228217232649367,0
BQ035,archive_orientation,help,2,365,85,1088.5999999046326,4774.199999809265,23.062730627903036,0
BQ036,archive_orientation,help,2,381,76,1135.5999999046326,4590.800000190735,21.995832366782516,0
BQ037,archive_orientation,help,2,412,91,1289,5003.5,24.49858662000269,0
BQ038,archive_orientation,help,2,414,124,1293,6416.800000190735,24.200788476401122,0
BQ039,archive_orientation,help,2,416,117,1300.5,6406.299999713898,22.915116143710303,0
BQ040,archive_orientation,help,2,436,120,1350.2999997138977,6445.799999713898,23.55019134530468,0
BQ041,archive_orientation,help,2,444,87,1354.4000000953674,4961.300000190735,24.120435830685548,0
BQ042,archive_orientation,help,2,400,90,1205.9000000953674,5039,23.479690068675275,0
BQ043,archive_orientation,help,2,387,81,1174.9000000953674,4614.700000286102,23.547880689432116,0
BQ044,casual_archive_help,help,1,342,71,1149.5,4046,24.51234248230623,0
BQ045,casual_archive_help,help,1,322,54,1018.1999998092651,3420.699999809265,22.47658688865765,0
BQ046,casual_archive_help,help,1,322,65,1018.0999999046326,3657.800000190735,24.624010301532376,0
BQ047,casual_archive_help,help,1,322,66,1016.4000000953674,3739.2999997138977,24.23886298036887,0
BQ048,casual_archive_help,help,1,325,65,1034,3740.5999999046326,24.01536983754167,0
BQ049,casual_archive_help,help,1,317,61,1010.3000001907349,3775.300000190735,22.06148282097649,0
BQ050,casual_archive_help,help,1,340,67,1135.6999998092651,3796.300000190735,25.182289705477608,0
BQ051,casual_archive_help,help,1,349,65,1118.5,4217.5,20.974507905776054,0
BQ052,casual_archive_help,help,1,352,67,1156.6999998092651,3986.199999809265,23.679095246509984,0
BQ053,casual_archive_help,help,1,360,71,1204.1999998092651,4180.199999809265,23.857526881720432,0
BQ054,casual_archive_help,help,1,368,96,1211.8999996185303,5173.799999713898,24.230798353741683,0
BQ055,casual_archive_help,help,1,311,64,990.5,3800.5999999046326,22.774990214644316,0
BQ056,casual_archive_help,help,1,324,63,1035,3687.699999809265,23.749387418302042,0
BQ057,casual_archive_help,help,1,335,60,1101.5999999046326,3627.5999999046326,23.752969121140143,0
BQ058,current_object_explanation,fast_answer,1,421,81,1673.8999996185303,6903.199999809265,15.489644884983761,0
BQ059,current_object_explanation,fast_answer,1,405,69,1611.4000000953674,6849.599999904633,13.172463823930443,0
BQ060,current_object_explanation,fast_answer,1,412,86,1610.1999998092651,6819.099999904633,16.51020368953627,0
BQ061,current_object_explanation,fast_answer,1,478,100,1722.9000000953674,6954.400000095367,19.114976584153688,0
BQ062,current_object_explanation,fast_answer,1,521,58,2094.9000000953674,7314.10000038147,11.112814223793032,0
BQ063,current_object_explanation,fast_answer,1,385,78,1508,6593.799999713898,15.336820166815032,0
BQ064,current_object_explanation,fast_answer,1,382,74,1417.5999999046326,6522,14.497296449850605,0
BQ065,current_object_explanation,fast_answer,1,613,62,2797.7999997138977,8561.199999809265,10.757538952523525,0
BQ066,current_object_explanation,fast_answer,1,613,90,2854,8657.39999961853,15.508150395615656,0
BQ067,current_object_explanation,fast_answer,1,428,79,1789.5,7043.800000190735,15.03530441678858,0
BQ068,current_object_explanation,fast_answer,1,567,88,2306.3999996185303,7858.299999713898,15.850429582393126,0
BQ069,current_object_explanation,fast_answer,1,487,70,1794.0999999046326,7073.699999809265,13.25858019570885,0
BQ070,current_object_explanation,fast_answer,1,488,84,1777,8349.400000095367,12.780719371733483,0
BQ071,current_object_explanation,fast_answer,1,444,89,2012.9000000953674,8102.299999713898,14.61556146838365,0
BQ072,current_object_explanation,fast_answer,1,648,79,3193.4000000953674,9923.599999904633,11.738135568369271,0
BQ073,current_object_explanation,fast_answer,1,350,87,1592,7655.900000095367,14.347202295326728,0
BQ074,current_object_explanation,fast_answer,1,431,83,2076.199999809265,8344.199999809265,13.241863433312062,0
BQ075,current_object_explanation,fast_answer,1,357,93,1587.3000001907349,7663.400000095367,15.305870542199713,0
BQ076,current_object_explanation,fast_answer,1,554,91,2595.699999809265,10088.199999809265,12.145478812145479,0
BQ077,current_object_explanation,fast_answer,1,355,78,1731.4000000953674,8835.400000095367,10.97972972972973,0
BQ078,current_object_explanation,fast_answer,1,360,76,1746.0999999046326,8806.699999809265,10.763957737448168,0
BQ079,current_object_explanation,fast_answer,1,361,101,1680.5999999046326,8736.099999904633,14.315073347034227,0
BQ080,current_object_explanation,fast_answer,1,365,80,1758,8865.900000095367,11.255082372983107,0
BQ081,current_object_explanation,fast_answer,1,378,100,1629.9000000953674,6799.799999713898,19.342733903436947,0
BQ082,current_object_explanation,fast_answer,1,386,74,1522.8000001907349,6846.5,13.90010706889029,0
BQ083,source_rights_question,source_rights,1,338,69,1316.9000000953674,5934.400000095367,14.943151055766108,0
BQ084,source_rights_question,source_rights,1,305,52,1128.7999997138977,5547.699999809265,11.76763447891506,0
BQ085,source_rights_question,source_rights,1,333,56,1192.4000000953674,5704.900000095367,12.409972299168974,0
BQ086,source_rights_question,source_rights,1,315,58,1133,5612,12.94931904442956,0
BQ087,source_rights_question,source_rights,1,288,45,1058.4000000953674,4938.900000095367,11.596443757247776,0
BQ088,source_rights_question,source_rights,1,355,40,1710.1999998092651,9076.5,5.430134531442418,1
BQ089,source_rights_question,source_rights,1,461,22,2450.0999999046326,8746,3.494337584724464,1
BQ090,source_rights_question,source_rights,1,307,58,1392.0999999046326,6678.900000095367,10.970719527484963,0
BQ091,source_rights_question,source_rights,1,328,52,1470.4000000953674,7078.800000190735,9.271806575692848,0
BQ092,source_rights_question,source_rights,1,290,50,1322.6000003814697,6103.700000286102,10.457844429314873,0
BQ093,source_rights_question,source_rights,1,290,51,1319.5,6212.699999809265,10.422627319951761,0
BQ094,source_rights_question,source_rights,1,410,48,1850.9000000953674,8136.5,7.6365024819791705,1
BQ095,source_rights_question,source_rights,1,521,59,2160.4000000953674,8865.099999904633,8.799797157468406,0
BQ096,source_rights_question,source_rights,1,387,36,2286.1000003814697,7870.900000095367,6.446067898912089,1
BQ097,source_rights_question,source_rights,1,361,46,1351.5,6450.200000286102,9.02190754455426,0
BQ098,source_rights_question,source_rights,1,478,69,1715.2999997138977,6808.299999713898,13.548007068525427,0
BQ099,source_rights_question,source_rights,1,372,44,1341.3000001907349,6392.800000190735,8.710284074037414,0
BQ100,source_rights_question,source_rights,1,395,48,1396.3000001907349,6502.900000095367,9.399600517153567,0
BQ101,source_rights_question,source_rights,1,373,43,1335,6474.799999713898,8.366084283900843,0
BQ102,comparison,research_answer,2,533,67,2019.6999998092651,7411.900000095367,12.425355141954133,0
BQ103,comparison,research_answer,2,798,64,3709,9805.5,10.4978266218322,0
BQ104,comparison,research_answer,2,787,72,3716.699999809265,9847.699999809265,11.74359810797586,0
BQ105,comparison,research_answer,2,602,71,2605.5999999046326,8270.900000095367,12.53243429255461,0
BQ106,comparison,research_answer,2,814,80,3307.699999809265,9232.699999809265,13.50210970464135,0
BQ107,comparison,research_answer,2,778,59,3118.2999997138977,8981.5,10.062764360267604,0
BQ108,comparison,research_answer,2,642,79,2495.0999999046326,8010.900000095367,14.322491750474672,0
BQ109,comparison,research_answer,2,600,47,2229.1000003814697,7710.800000190735,8.573982523967995,0
BQ110,comparison,research_answer,2,1029,65,4730.699999809265,10901,10.534333824609943,0
BQ111,comparison,research_answer,2,739,63,3404.5,9372.89999961853,10.555592789361745,0
BQ112,comparison,research_answer,2,625,70,2689.699999809265,8422,12.211503235642036,0
BQ113,comparison,research_answer,2,696,79,2774.0999999046326,8479.199999809265,13.84725946982885,0
BQ114,comparison,research_answer,2,807,105,3148.6000003814697,9113.200000286102,17.603862790745204,0
BQ115,comparison,research_answer,2,618,50,2222.4000000953674,7686.200000286102,9.15114023175346,0
BQ116,comparison,research_answer,2,583,57,2134.300000190735,7559.5,10.506525105434632,0
BQ117,comparison,research_answer,2,783,63,3055.4000000953674,8871.900000095367,10.83125590991146,0
BQ118,comparison,research_answer,2,494,58,1784.7999997138977,7032.099999904633,11.053303603356346,0
BQ119,comparison,research_answer,2,572,97,2205.5999999046326,7703.800000190735,17.642137425876204,0
BQ120,comparison,research_answer,2,506,66,1887.1999998092651,7199.599999904633,12.423763270615009,0
BQ121,comparison,research_answer,2,722,89,2780.2999997138977,8520.199999809265,15.505496611181602,0
BQ122,comparison,research_answer,2,443,87,1663.1999998092651,6581.699999809265,17.688319609637084,0
BQ123,comparison,research_answer,2,490,72,1770.1999998092651,7038.099999904633,13.667685415193255,0
BQ124,comparison,research_answer,2,473,43,1685.8000001907349,6853.700000286102,8.320594438593332,1
BQ125,comparison,research_answer,2,517,50,1889.1000003814697,7191.900000095367,9.42898091625135,0
BQ126,comparison,research_answer,2,552,49,2219.4000000953674,7699.200000286102,8.941932186994865,0
BQ127,comparison,research_answer,2,637,97,2592.0999999046326,8257.299999713898,17.122078656228513,0
BQ128,region_period_recommendation,research_answer,2,749,65,3287.800000190735,9233.900000095367,10.931534955860567,0
BQ129,region_period_recommendation,research_answer,2,798,70,3414.300000190735,9432.700000286102,11.630998271781667,0
BQ130,region_period_recommendation,research_answer,2,863,85,3788.0999999046326,9926.900000095367,13.84635433592217,0
BQ131,region_period_recommendation,research_answer,2,961,69,3990,10331.89999961853,10.880020183880289,0
BQ132,region_period_recommendation,research_answer,2,810,79,3184.4000000953674,9030.799999713898,13.512588944505104,0
BQ133,region_period_recommendation,research_answer,2,601,93,2283,7694.700000286102,17.18498808047071,0
BQ134,region_period_recommendation,research_answer,2,626,71,2428.800000190735,7718.5,13.42231128467779,0
BQ135,region_period_recommendation,research_answer,2,664,66,2803,8520.5,11.54350677743769,0
BQ136,region_period_recommendation,research_answer,2,797,105,3294.0999999046326,9222.699999809265,17.71075802072817,0
BQ137,region_period_recommendation,research_answer,2,787,78,3171.9000000953674,9068.300000190735,13.22841055537929,0
BQ138,region_period_recommendation,research_answer,2,726,52,3038,8853.900000095367,8.941006550860111,0
BQ139,region_period_recommendation,research_answer,2,779,80,3108.2999997138977,8967.299999713898,13.6542072025943,0
BQ140,region_period_recommendation,research_answer,2,841,76,3299.199999809265,9244.199999809265,12.783851976450798,0
BQ141,region_period_recommendation,research_answer,2,820,74,3434.7000002861023,9416.60000038147,12.370651465056293,0
BQ142,region_period_recommendation,research_answer,2,596,79,2605.5999999046326,8278.099999904633,13.92684001762891,0
BQ143,region_period_recommendation,research_answer,2,617,69,2705.300000190735,8419.599999904633,12.074969813180035,0
BQ144,region_period_recommendation,research_answer,2,550,67,2381.2999997138977,7906.39999961853,12.126477349035577,0
BQ145,region_period_recommendation,research_answer,2,566,79,2394.800000190735,7729.599999904633,14.808427683181511,0
BQ146,region_period_recommendation,research_answer,2,527,60,2088.800000190735,7395,11.30752704424197,0
BQ147,method_process_question,research_answer,1,459,92,1235.8000001907349,5351.60000038147,22.35288400693341,0
BQ148,method_process_question,research_answer,1,459,103,1251.4000000953674,5850.900000095367,22.393738449831503,0
BQ149,method_process_question,research_answer,1,459,86,1252.4000000953674,5214.400000095367,21.706208985360927,0
BQ150,method_process_question,research_answer,1,459,112,1243.5,6296.599999904633,22.164611822863943,0
BQ151,method_process_question,research_answer,1,459,105,1246.6999998092651,6313.199999809265,20.724365933089906,0
BQ152,method_process_question,research_answer,1,459,99,1240.8000001907349,6313,19.518157802082488,0
BQ153,method_process_question,research_answer,1,459,72,1239.5,4622.799999713898,21.280997844142863,0
BQ154,method_process_question,research_answer,1,459,113,1248.1000003814697,6278.400000095367,22.463868955415574,0
BQ155,method_process_question,research_answer,1,459,86,1245,5184,21.83295252602183,0
BQ156,method_process_question,research_answer,1,459,118,1246.4000000953674,6313.800000190735,23.28610332671178,0
BQ157,method_process_question,research_answer,1,459,90,1249.8000001907349,5288.800000190735,22.28274325328052,0
BQ158,method_process_question,research_answer,1,459,106,1258.9000000953674,6240.60000038147,21.27787702870754,0
BQ159,method_process_question,research_answer,1,459,107,1269.8000001907349,6317.099999904633,21.199453174185248,0
BQ160,method_process_question,research_answer,1,459,100,1255,6328.800000190735,19.70909377512728,0
BQ161,more_context,research_answer,2,742,67,2633.800000190735,8017.60000038147,12.444741631863435,0
BQ162,more_context,research_answer,2,645,77,2413.0999999046326,7973,13.849169948862254,0
BQ163,more_context,research_answer,2,670,84,2220.1000003814697,7701.700000286102,15.323992995012661,0
BQ164,more_context,research_answer,2,613,74,2198.800000190735,7683.900000095367,13.491094055037577,0
BQ165,more_context,research_answer,2,776,70,2952.8999996185303,9267.39999961853,11.085596642647875,0
BQ166,more_context,research_answer,2,881,62,4269,11366,8.736085670001408,0
BQ167,more_context,research_answer,2,857,55,4345.200000286102,11527.200000286102,7.658033973823447,1
BQ168,more_context,research_answer,2,653,86,3062.0999999046326,9782.89999961853,12.796095703437238,0
BQ169,more_context,research_answer,2,798,52,3889.5,10933.799999713898,7.381854833285346,1
BQ170,more_context,research_answer,2,634,61,2888.0999999046326,9464.299999713898,9.275873605086407,0
BQ171,more_context,research_answer,2,684,86,3071.4000000953674,9699.200000286102,12.975648027629845,0
BQ172,more_context,research_answer,2,752,82,3637.2000002861023,10476.800000190735,11.989005205149915,0
BQ173,more_context,research_answer,2,898,77,4238.400000095367,11399,10.753288830688144,0
BQ174,more_context,research_answer,2,846,60,4324.5,11476.400000095367,8.389379046015733,0
BQ175,more_context,research_answer,2,750,59,3780.5,10837.5,8.360493127391242,0
BQ176,more_context,research_answer,2,927,88,4714.599999904633,12022.699999809265,12.041433478078893,0
BQ177,first_earliest_claim,refusal_more_context,0,107,10,440,868.4000000953674,23.342670396297546,0
BQ178,first_earliest_claim,refusal_more_context,0,107,10,465,872.5,24.539877300613497,0
BQ179,first_earliest_claim,refusal_more_context,0,107,10,443.40000009536743,859.3000001907349,24.044241398670263,0
BQ180,first_earliest_claim,refusal_more_context,0,107,10,447.59999990463257,847.1999998092651,25.025025030997426,0
BQ181,first_earliest_claim,refusal_more_context,0,107,10,447.40000009536743,863,24.061597695608018,0
BQ182,first_earliest_claim,refusal_more_context,0,107,10,450.59999990463257,879.0999999046326,23.337222870478413,0
BQ183,first_earliest_claim,refusal_more_context,0,107,10,451.30000019073486,877.2000002861023,23.479690062833534,0
BQ184,first_earliest_claim,refusal_more_context,0,107,10,440.80000019073486,854.9000000953674,24.148756344610007,0
BQ185,first_earliest_claim,refusal_more_context,0,107,10,442.19999980926514,859.4000000953674,23.96931925489531,0
BQ186,first_earliest_claim,refusal_more_context,0,108,10,448.09999990463257,881.9000000953674,23.05209773075879,0
BQ187,first_earliest_claim,refusal_more_context,0,108,10,466.2000002861023,883.4000000953674,23.96931928229095,0
BQ188,first_earliest_claim,refusal_more_context,0,108,10,443.3999996185303,867.7999997138977,23.562676714780604,0
BQ189,no_evidence_refusal,refusal_more_context,0,113,10,455.40000009536743,861.8000001907349,24.606299206824215,0
BQ190,no_evidence_refusal,refusal_more_context,0,113,10,449.5,865,24.067388688327316,0
BQ191,no_evidence_refusal,refusal_more_context,0,113,10,460.09999990463257,860.3000001907349,24.987506229013036,0
BQ192,no_evidence_refusal,refusal_more_context,0,113,10,466.90000009536743,885.5,23.889154329379473,0
BQ193,no_evidence_refusal,refusal_more_context,0,113,10,450.59999990463257,869.3000001907349,23.88344875368257,0
BQ194,no_evidence_refusal,refusal_more_context,0,113,10,451.80000019073486,868.5,23.998080164572283,0
BQ195,no_evidence_refusal,refusal_more_context,0,113,10,457.80000019073486,875.5,23.940627255365843,0
BQ196,no_evidence_refusal,refusal_more_context,0,113,10,470.2000002861023,899.5,23.293734001081738,0
BQ197,no_evidence_refusal,refusal_more_context,0,113,10,453.80000019073486,873.7000002861023,23.815194088422974,0
BQ198,no_evidence_refusal,refusal_more_context,0,113,10,460.90000009536743,883.3000001907349,23.674242418897368,0
BQ199,no_evidence_refusal,refusal_more_context,0,113,10,458.40000009536743,862.6000003814697,24.740227592582293,0
BQ200,no_evidence_refusal,refusal_more_context,0,113,10,468.09999990463257,901.3999996185303,23.078698376650976,0
